Sheri Batarse,5901090566,10
Drusilla Alzaga,5980255672,35
Ellena Aminov,1428222913,9
Cindie Aldrete,7541367539,71
Raeann Barella,4785496521,35
Jolynn Arntt,5386993776,27
Corrie Alicer,6011610417,27
Camellia Ahuna,1677851198,77
Ilda Aragones,2268496278,78
Dean Alm,4993080558,51
Novella Banick,2477917065,18
Sharan Baskin,5959455394,21
Hannelore Anttila,8828931004,86
Vicenta Beeman,1485901944,27
Yuko Beldon,3629319416,29
Tanner Bayt,0960670339,73
Shirleen Batlle,9191890963,43
Cassandra Akins,1198330774,6
Jacqulyn Ardaly,0323546939,87
Elvera Amodt,6194502500,67
Lynell Babineaux,8156213332,70
Tegan Be,8072176299,36
Dominick Altshuler,4568138929,6
Starla Baugess,5468720100,58
Desirae Alston,7413939311,85
Georgette Ann,8351879550,90
Blossom Agostinelli,4031801641,63
Azucena Adkison,8652785978,63
Corene Alguire,1133516344,91
Raylene Baribeau,0889962749,59
Heriberto Aplin,6669054035,32
Lavonia Aulabaugh,1094165350,71
Fidelia Andros,6015510492,81
Reba Barillaro,5671415306,58
Lora Axton,6133769497,88
Kevin Asley,0000729126,8
Jared Argenbright,4661727522,53
Kelley Ashely,4120628171,24
Alysa Abramian,5998411918,99
Claudette Alepin,1549249703,44
Stacie Bauer,6187619794,90
Regina Barke,9936883420,93
Kathryn Ascenzo,2648056405,71
Su Baumgarten,7954887630,77
Bessie Agbayani,2726087474,57
Lora Axton,6133769497,18
Bernarda Affeltranger,6951667297,89
Lena Aust,8322741840,40
Tiffiny Beatty,4219392966,79
Celestine Alanko,0878684231,69
Zoraida Belka,2688048121,67
Shea Bastic,3431634778,21
Laveta Auila,4698268986,35
Francis Angelica,3994368821,46
Albert Abdeldayen,8520053406,58
Nathanial Balsis,0032849875,20
Anastacia Abshire,9290234885,51
Britni Aherns,2104199409,61
Brandi Aguero,1077119954,6
Velda Bedore,5965302161,12
Sharika Basnight,6075413663,64
Connie Alfonzo,3333011729,86
Rana Barfoot,7926320907,73
Edyth Ambrogi,3884487043,32
Theola Bearded,1592986929,21
Steve Baumfalk,8228685812,61
Cheryl Albus,4115843662,8
Merlin Balazs,1168922235,1
Hang Antrican,9862008569,14
Versie Beel,4995845127,36
Kaci Arsham,0852754387,85
Sharell Baskow,5673986716,43
Else Amoah,0447407741,72
Faviola Andregg,9891117289,93
Breana Aguillar,0176948610,31
Patrica Barb,1886528671,0
Regine Barken,5055051200,73
Ruthanne Barthell,8422916164,52
Mattie Baiotto,7585021678,16
Ezra Andrado,1648925291,55
Russ Barter,6490647853,0
Sherley Batel,8636659405,97
Dorian Alvero,9316938609,64
Merilyn Balasko,9534041498,84
Cecila Alamia,4229061287,83
Towanda Bech,7023143672,25
Lorri Ayo,9891650523,67
May Baiza,3663487262,83
Kesha Askvig,5594380384,91
Angel Accala,1350988700,59
Theo Bear,2767709375,47
Juliann Arrindel,2757918518,73
Gisela Anslinger,9366415783,95
Latanya Auckley,9279414969,10
Darrel Alloway,4008143875,34
Edra Amble,8775278500,87
Allie Ableman,3852726350,62
Kelli Asher,0670326980,6
Celsa Alarcone,4983679468,86
Kena Ashman,8166714138,93
Blythe Agostini,6535759328,87
Les Auwarter,4496876033,86
Taunya Bazil,3283254894,59
Roma Barree,2984923868,56
Florine Anerton,9611877402,37
Edwardo Ambres,6116189754,87
Reyes Barmettler,3830647406,46
Ernie Anasagasti,3729590003,12
Janeth Arendz,1408441442,20
Fermin Andrino,4226349338,100
Shaina Bascomb,7313347676,29
Shoshana Battaglini,8161792108,35
Hermila Apodace,3233489519,1
Roberto Barona,3141927119,96
Keneth Ashton,9387025720,34
Avril Adinolfi,9497614320,49
Kimberly Aspinwall,0716938278,18
Marilee Bagdonas,0840007079,83
Rey Barmes,7906018381,3
Nathan Balser,2804350769,6
Kamilah Arthurs,5936243099,57
Antonia Ackley,4438109017,33
Samual Bartmess,3313799945,78
Rosario Barrineau,0420355408,0
Courtney Alimento,2670975783,27
Aleta Abedi,1237490065,71
Hellen Apicella,4629925680,69
Karl Artzer,0824944879,16
Yael Bejcek,0446759376,53
Jeanene Arhart,5117407877,9
Robena Baro,7015061485,63
Euna Anderberg,3490048219,94
Selene Barwell,7664527834,12
Khadijah Aslin,2682125519,32
Princess Bard,9597532892,60
Raymond Barickman,8495000372,79
Raelene Baremore,1652022903,98
Yuette Belcourt,4461908136,13
Ismael Arcand,2891567945,81
Wilbur Behrenwald,6371546908,100
Daniell Allery,7941925502,83
Marx Baik,4732025047,53
Vernice Beedoo,7431118978,56
Roxane Barshaw,2885633120,93
Lidia Avendano,6713828899,28
Jamison Areias,4700406578,5
Margurite Bae,0715913639,42
Saundra Bartsch,0502470758,14
Eryn Anastasi,6830887468,93
Ardelle Acrey,1871109778,17
Kristan Astrella,4990463377,95
Kiley Asp,0708794415,67
Trent Beckelheimer,3343777980,35
Ervin Anastacio,6704751068,4
Mafalda Bache,6719979074,22
Wesley Behnke,6969525471,86
Claude Aleo,4684722690,17
Brittney Ahlemeyer,6697972680,63
Yuri Belfanti,1910352034,52
Allene Able,0915496181,25
Arnulfo Adaway,0623806439,65
Lanelle Atthowe,9374956883,51
Brinda Ahaus,6708339614,9
Seymour Basch,8636660794,76
Constance Alfredo,8639114703,56
Terry Beam,5486948421,78
Lindsey Aviles,7579349668,1
Claribel Alegria,5238288415,13
Marva Baichan,8073541812,75
Maurice Bairos,6673580811,40
Lula Babbitt,3985152986,60
Saul Barts,8605892534,31
Hisako Appl,2316470968,94
Emmie Amsbaugh,3475656618,42
Aracelis Acosta,9280130388,7
Jolanda Arnspiger,3648873303,94
Ines Aranas,0767767870,81
Delfina Alo,1905655258,23
Dagny Allbert,7406833460,36
Alva Abrachinsky,3563076609,62
Milan Baldor,5723638036,78
Ronnie Barrett,3502362339,72
Reda Barios,1082535804,77
Roslyn Barsamian,1606919598,64
Katherina Asante,9824512145,21
Alejandro Abdulmateen,8797322447,30
Gabrielle Angis,9428943860,31
Velva Bedsaul,4963278692,2
Dorsey Alvino,4883580946,5
Daria Allis,5322983380,3
Terresa Beales,4216255108,93
Dee Almeter,4413772133,31
Nu Banik,0903822843,60
Candelaria Aiken,4336409329,20
Dot Alvizo,5695846230,94
Kory Astin,6986928192,8
Cristy Alkins,8775703329,19
Marion Baggio,5416916132,76
Vern Beed,1061160420,40
Marlena Bagshaw,3400404802,77
Quinn Bardo,3165228071,82
Darrel Alloway,4008143875,83
Madelene Bacco,7481233010,11
Estela Anawaty,0883496195,0
Tierra Beatley,4513852586,92
Nereida Balzano,1334321564,69
Milissa Baldrige,8491768779,30
Suellen Baumkirchner,0614799846,45
Donnette Alvara,1778257028,18
Ashli Addo,0263749468,52
Ethelyn Ancira,3104095499,87
Beulah Aggas,1275963961,97
Deandrea Alman,7083290488,86
Necole Balter,7112163354,80
Maritza Baglione,0248551816,4
Fatimah Andreatta,5416820433,51
Lupe Babecki,2091924348,21
Fernanda Andris,8150549338,100
Daryl Allshouse,0993222362,40
Herbert Apley,4137876607,32
Chance Alavi,5812573916,52
Linda Avey,2202895850,3
Eura Anderegg,6713490216,0
Desirae Alston,7413939311,14
Alishia Abeyta,9965241137,65
Iliana Arai,9882264249,81
Darell Allington,6329048871,10
Lorita Aylward,0390746470,23
Kina Asquith,4727630176,45
Anna Achenbach,1843361774,4
Joycelyn Arre,2426605909,88
Olevia Bannister,3421238323,8
Tammara Baylor,1922466704,87
Kip Assael,2362638590,31
Myriam Ballif,2147912453,20
Myesha Balli,6142297515,6
Ehtel Ambrosio,4682292282,68
Brad Agtarap,9038118157,2
Georgiana Annabel,8362920960,31
Laurene Aughenbaugh,1173105006,79
Hyun Ar,9759702719,36
Abbie Aagaard,3926889125,37
Rosamaria Barriere,6818007911,81
Leonarda Auteri,0296830350,68
Yolanda Belanger,1810796440,7
Wm Beissel,8189705352,29
Leigh Aurora,6358304831,48
Darnell Allocco,1170872757,42
Sharyl Bassani,0870838566,94
Verlie Beeckman,0549167541,96
Clayton Ales,1924989439,54
Rico Barnfield,4295765899,65
Norene Bang,5279649954,61
Cinthia Aldridge,3955902960,41
